rid,auc,n_ict,n_ctl,subject
sub-106_ses-01_task-szMonitoring_run-01,0.9541939321832243,41,205,106
sub-107_ses-01_task-szMonitoring_run-01,0.7444444444444444,6,30,107
sub-107_ses-01_task-szMonitoring_run-06,0.8333333333333334,6,30,107
sub-108_ses-01_task-szMonitoring_run-01,0.8500000000000001,2,10,108
sub-109_ses-01_task-szMonitoring_run-03,0.9204289324499693,121,605,109
sub-109_ses-01_task-szMonitoring_run-07,0.9657346817370612,41,205,109
sub-110_ses-01_task-szMonitoring_run-08,0.9192041522491349,34,170,110
sub-111_ses-01_task-szMonitoring_run-06,0.8768229166666667,48,240,111
sub-112_ses-01_task-szMonitoring_run-03,0.8875468554768846,49,245,112
sub-112_ses-01_task-szMonitoring_run-04,0.9243162901307966,58,290,112
sub-112_ses-01_task-szMonitoring_run-05,0.7555555555555555,3,15,112
sub-112_ses-01_task-szMonitoring_run-06,0.8252888048729259,69,345,112
sub-113_ses-01_task-szMonitoring_run-02,0.85625,8,40,113
sub-113_ses-01_task-szMonitoring_run-04,0.9099342216225331,77,385,113
sub-113_ses-01_task-szMonitoring_run-05,0.7666666666666666,6,30,113
sub-113_ses-01_task-szMonitoring_run-06,0.9555555555555556,6,30,113
sub-113_ses-01_task-szMonitoring_run-08,0.7125,4,20,113
sub-114_ses-01_task-szMonitoring_run-02,0.7120000000000001,15,75,114
sub-114_ses-01_task-szMonitoring_run-06,0.8637119113573407,19,95,114
sub-114_ses-01_task-szMonitoring_run-11,0.8166666666666667,6,30,114
sub-115_ses-01_task-szMonitoring_run-09,0.89921875,32,160,115
sub-115_ses-01_task-szMonitoring_run-12,0.9972318339100346,17,85,115
sub-115_ses-01_task-szMonitoring_run-49,0.9989795918367348,14,70,115
sub-115_ses-01_task-szMonitoring_run-52,0.9487654320987655,36,180,115
sub-115_ses-01_task-szMonitoring_run-55,0.9706611570247934,22,110,115
sub-115_ses-01_task-szMonitoring_run-57,0.9209876543209876,18,90,115
sub-116_ses-01_task-szMonitoring_run-06,0.9846153846153846,13,65,116
sub-116_ses-01_task-szMonitoring_run-18,0.9396825396825397,21,105,116
sub-116_ses-01_task-szMonitoring_run-19,0.9884297520661157,22,110,116
sub-116_ses-01_task-szMonitoring_run-24,0.8235827664399092,21,105,116
sub-116_ses-01_task-szMonitoring_run-25,0.5700000000000001,10,50,116
sub-116_ses-01_task-szMonitoring_run-26,0.9537414965986395,21,105,116
sub-116_ses-01_task-szMonitoring_run-27,0.9984877126654064,23,115,116
sub-117_ses-01_task-szMonitoring_run-06,0.65,2,10,117
sub-117_ses-01_task-szMonitoring_run-07,0.9199999999999999,5,25,117
sub-117_ses-01_task-szMonitoring_run-10,0.5666666666666667,6,30,117
sub-117_ses-01_task-szMonitoring_run-11,0.425,4,20,117
sub-118_ses-01_task-szMonitoring_run-03,0.0,5,25,118
sub-118_ses-01_task-szMonitoring_run-10,1.0,9,45,118
sub-119_ses-01_task-szMonitoring_run-30,0.9106648199445984,38,190,119
sub-119_ses-01_task-szMonitoring_run-31,0.903125,8,40,119
sub-119_ses-01_task-szMonitoring_run-33,0.80859375,16,80,119
sub-122_ses-01_task-szMonitoring_run-01,0.7654320987654322,27,135,122
sub-125_ses-01_task-szMonitoring_run-21,0.9207925444435743,113,565,125
