recording_id,n_neg,neg_mean,neg_med,neg_q99,neg_max,dur_s,tag
sub-017_ses-01_task-szMonitoring_run-01,300,0.07410327077862647,0.013257702346891099,0.6516165351867674,0.7375423908233643,20640.0,spectral-gru__large__h45__sop10
sub-017_ses-01_task-szMonitoring_run-02,817,0.14873373472930307,0.0121594257652759,0.9756956911087036,0.984157145023346,51660.0,spectral-gru__large__h45__sop10
sub-017_ses-01_task-szMonitoring_run-03,194,0.2573414145910046,0.1317307204008102,0.9085550528764723,0.9147336483001708,14280.0,spectral-gru__large__h45__sop10
sub-017_ses-01_task-szMonitoring_run-04,1138,0.10009220439879513,0.015186266973614651,0.9506955909729004,0.985032856464386,70920.0,spectral-gru__large__h45__sop10
sub-017_ses-01_task-szMonitoring_run-05,53,0.2189398848776758,0.0104134045541286,0.9364126873016356,0.9526585340499878,5820.0,spectral-gru__large__h45__sop10
sub-017_ses-01_task-szMonitoring_run-06,1206,0.07560177172018114,0.013660519849509,0.8253320962190632,0.957875907421112,80520.0,spectral-gru__large__h45__sop10
sub-017_ses-01_task-szMonitoring_run-08,1249,0.11576634127003739,0.0184376686811447,0.9626358795166017,0.9861800074577332,80340.0,spectral-gru__large__h45__sop10
sub-017_ses-01_task-szMonitoring_run-09,2,0.08892619982361785,0.08892619982361785,0.09704638056457035,0.0972120985388755,2760.0,spectral-gru__large__h45__sop10
sub-017_ses-01_task-szMonitoring_run-10,1239,0.061709714952761924,0.0108355144038796,0.6585295855998986,0.9151790738105774,79980.0,spectral-gru__large__h45__sop10
sub-018_ses-01_task-szMonitoring_run-01,1076,0.2700931302109061,0.15516144037246699,0.8834153711795807,0.927804708480835,74760.0,spectral-gru__large__h45__sop10
sub-018_ses-01_task-szMonitoring_run-02,108,0.14982228155282357,0.0780398249626159,0.7532192379236221,0.7742791175842285,9120.0,spectral-gru__large__h45__sop10
sub-018_ses-01_task-szMonitoring_run-03,776,0.14345622483698514,0.07774231210350985,0.7930075526237488,0.8920431733131409,55200.0,spectral-gru__large__h45__sop10
sub-018_ses-01_task-szMonitoring_run-04,245,0.37129211115593813,0.2726912796497345,0.8584085774421693,0.8748242855072021,17340.0,spectral-gru__large__h45__sop10
sub-018_ses-01_task-szMonitoring_run-05,111,0.5579659861621556,0.6252869367599487,0.9472602546215058,0.9486083388328552,10020.0,spectral-gru__large__h45__sop10
sub-018_ses-01_task-szMonitoring_run-06,1093,0.2191189744859961,0.1264874935150146,0.8862134456634521,0.9261083602905272,74280.0,spectral-gru__large__h45__sop10
sub-018_ses-01_task-szMonitoring_run-07,90,0.3218971612552801,0.2959368824958801,0.8363664084672928,0.8374273180961609,8040.0,spectral-gru__large__h45__sop10
sub-018_ses-01_task-szMonitoring_run-08,1055,0.17116441184133996,0.0807772949337959,0.8790390360355378,0.9360112547874452,74400.0,spectral-gru__large__h45__sop10
sub-018_ses-01_task-szMonitoring_run-09,118,0.37430004777102655,0.3146478235721588,0.8818111389875412,0.9114119410514832,9720.0,spectral-gru__large__h45__sop10
